,algorithm_of_vehicle_classification,algorithm_of_vehicle_classification_name,calibration_of_weighing_system,calibration_of_weighing_system_name,classification_system_for_vehicle_classification,concurrent_route_signing,concurrent_signed_route_number,direction_of_travel,direction_of_travel_name,fips_county_code,fips_state_code,functional_classification,functional_classification_name,hpms_sample_identifier,hpms_sample_type,lane_of_travel,lane_of_travel_name,latitude,longitude,lrs_identification,lrs_location_point,method_of_data_retrieval,method_of_data_retrieval_name,method_of_traffic_volume_counting,method_of_traffic_volume_counting_name,method_of_truck_weighing,method_of_truck_weighing_name,method_of_vehicle_classification,method_of_vehicle_classification_name,national_highway_system,number_of_lanes_in_direction_indicated,number_of_lanes_monitored_for_traffic_volume,number_of_lanes_monitored_for_truck_weight,number_of_lanes_monitored_for_vehicle_class,posted_route_signing,posted_signed_route_number,previous_station_id,primary_purpose,primary_purpose_name,record_type,sample_type_for_traffic_volume,sample_type_for_traffic_volume_name,sample_type_for_truck_weight,sample_type_for_truck_weight_name,sample_type_for_vehicle_classification,sample_type_for_vehicle_classification_name,second_type_of_sensor,shrp_site_identification,station_id,station_location,type_of_sensor,type_of_sensor_name,year_of_data,year_station_discontinued,year_station_established
3309,,,,,1,0,00000000,1,North,193,37,3R,Rural: Principal Arterial - Other,000000102694,Y,0,Data with lanes combined,36.1685,81.373,002000042196,47513.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000421,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9601,0.60 MILES SOUTH OF SR 1171 (S,L,Inductance loop,15,0,57
3325,,,,,1,0,00000000,5,South,171,37,1R,Rural: Principal Arterial - Interstate,,N,0,Data with lanes combined,36.4566,80.7694,001000007785,24116.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,1,00000077,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,5826,0W8501,2.25 MILES SOUTH OF NC 89 (WES,L,Inductance loop,15,0,3
3335,,,,,1,0,00000000,5,South,119,37,5U,Urban: Collector,,N,0,Data with lanes combined,35.2072,80.758,005000090259,4132.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5907,0.40 MILES NORTH OF NC 27 (ALB,L,Inductance loop,15,13,93
3406,,,,,15,0,00000000,3,East,45,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,1,Outside (rightmost) lane,35.2522,81.3471,002000007422,37470.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000074,,P,Planning or traffic statistics purposes,S,,,,,,,L,3008,373008,0.40 MILES WEST OF NC 216 (NOR,P,Piezoelectric,15,1,0
3462,,,,,1,0,00000000,7,West,87,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,35.5216,83.0316,002000001943,13221.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000019,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4303,0.20 MILES WEST OF US 276,L,Inductance loop,15,3,60
3600,,,,,1,0,00000000,3,East,183,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,35.6718,78.5114,002900007050,20.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000070,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9101,0.63 MILES EAST OF SR 2558 (GU,L,Inductance loop,15,0,67
3688,,,,,1,1,00000085,7,West,81,37,1R,Rural: Principal Arterial - Interstate,000000100068,Y,0,Data with lanes combined,36.0622,79.5768,001000004040,44244.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4001,0.60 MILES WEST OF NC 61,L,Inductance loop,15,9,56
3718,,,,,1,0,00000000,5,South,35,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100651,Y,0,Data with lanes combined,35.7202,81.3559,002000032117,21993.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000321,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,1701,0W1701,0.10 MILES SOUTH OF US 70,L,Inductance loop,15,0,3
3749,,,,,1,0,00000000,3,East,119,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.1206,80.9068,001080048559,58619.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000485,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5910,0.70 MILES EAST OF I-77,L,Inductance loop,15,9,99
3773,,,,,1,0,00000000,1,North,119,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.2817,80.7822,001000008559,23147.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5901,0.25 MILES WEST OF US 29 EXIT,L,Inductance loop,15,3,93
3876,,,,,1,0,00000000,7,West,119,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.1206,80.9068,001080048559,58619.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000485,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5910,0.70 MILES EAST OF I-77,L,Inductance loop,15,9,99
3949,,,,,1,0,00000000,5,South,171,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.4348,80.5312,002000005285,14493.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000052,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8503,0.10 MILES SOUTH OF SR 1822 (A,L,Inductance loop,15,0,99
3973,,,,,1,2,00000421,3,East,81,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100218,Y,0,Data with lanes combined,36.1024,80.0277,001900004040,1171.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4012,1.20 MILES WEST OF I-40 & I-40,L,Inductance loop,15,0,6
4020,,,,,1,0,00000000,3,East,183,37,1U,Urban: Principal Arterial - Interstate,000000100089,Y,0,Data with lanes combined,35.8423,78.7856,001000004091,5006.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9102,1.45 MILES WEST OF SR 1652 (HA,L,Inductance loop,15,99,93
4064,,,,,15,0,00000000,5,South,167,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,35.4492,80.2323,002000005283,33884.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000052,,P,Planning or traffic statistics purposes,S,,,,,,,L,1352,371352,0.60 MILES NORTH OF NC 8-740,P,Piezoelectric,15,9,0
4105,,,,,1,0,00000000,1,North,171,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.4348,80.5312,002000005285,14493.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000052,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8503,0.10 MILES SOUTH OF SR 1822 (A,L,Inductance loop,15,0,99
4129,,,,,1,3,00000133,5,South,129,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,34.2524,77.9554,002000007464,1950.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6402,0.10 MILES EAST OF US 17,L,Inductance loop,15,5,58
4130,,,,,15,0,00000000,3,East,119,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,3,Other lanes,35.3343,80.821,003000002459,4836.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,3,00000024,,P,Planning or traffic statistics purposes,S,,,,,,,L,5903,375903,0.20 MILES EAST OF NC 115 (OLD,P,Piezoelectric,15,11,3
4388,,,,,15,0,00000000,1,North,141,37,4R,Rural: Minor Arterial,,N,2,Other lanes,34.4518,78.0513,002000042170,13934.0,2,Automated (telemetry),0,,0,,0,,N,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,7002,377002,0.40 MILES SOUTH OF NC 210,P,Piezoelectric,15,11,4
4571,,,,,15,2,00000029,5,South,71,37,1R,Rural: Principal Arterial - Interstate,000000102602,Y,3,Other lanes,35.2327,81.3207,001000008535,335.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000085,,P,Planning or traffic statistics purposes,S,,,,,,,L,2202,372202,0.80 MILES EAST OF NC 161 (YOR,P,Piezoelectric,15,3,0
4579,,,,,1,0,00000000,3,East,61,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,34.9936,78.1271,003900002430,644.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,3,00000024,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3002,0.10 MILES EAST OF SR 1111 (PE,L,Inductance loop,15,0,54
4608,,,,,15,0,00000000,3,East,21,37,1U,Urban: Principal Arterial - Interstate,,N,3,Other lanes,35.5929,82.4231,001000004010,33926.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,1801,371801,1.20 MILES WEST OF SR 2740 (PA,P,Piezoelectric,15,7,3
4682,,,,,15,2,00000441,1,North,111,37,3U,Urban: Principal Arterial - Other,,N,3,Other lanes,35.2037,83.3599,002000002355,26531.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000023,,P,Planning or traffic statistics purposes,S,,,,,,,L,1814,371814,0.20 MILES SOUTH OF SR 1513 (R,P,Piezoelectric,15,7,3
4730,,,,,1,0,00000000,5,South,119,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.2817,80.7822,001000008559,23147.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5901,0.25 MILES WEST OF US 29 EXIT,L,Inductance loop,15,3,93
4787,,,,,1,0,00000000,5,South,163,37,5U,Urban: Collector,000000101694,Y,0,Data with lanes combined,34.9994,78.3143,004000185581,1125.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001855,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8101,0.10 MILES NORTH OF SR 1275 (E,L,Inductance loop,15,0,93
4791,,,,,1,2,00000074,3,East,21,37,1U,Urban: Principal Arterial - Interstate,000000100002,Y,0,Data with lanes combined,35.4333,82.5312,001000002610,46374.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000026,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4401,0.50 MILES SOUTH OF NC 280 (AI,L,Inductance loop,15,9,93
4833,,,,,1,0,00000000,3,East,183,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,35.7833,78.6816,004000101291,3711.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,3,00001012,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9104,0.40 MILES WEST OF SR 1321 (AV,L,Inductance loop,15,0,93
4834,,,,,15,0,00000000,1,North,185,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,36.5358,78.1901,001000008592,15765.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000085,,P,Planning or traffic statistics purposes,S,,,,,,,L,9201,379201,0.10 MILES EAST OF US 1,P,Piezoelectric,15,8,0
4883,,,,,1,2,00000076,7,West,129,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,34.2195,77.8148,002000007464,17126.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6403,0.02 MILES EAST OF SUMMER REST,L,Inductance loop,15,0,54
4958,,,,,1,2,00000076,7,West,47,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,34.3424,78.6312,002000007423,35204.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,1645,0W2301,1.60 MILES EAST OF US 74 BUS (,L,Inductance loop,15,0,4
4989,,,,,1,0,00000000,3,East,87,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,35.5216,83.0316,002000001943,13221.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000019,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4303,0.20 MILES WEST OF US 276,L,Inductance loop,15,3,60
5233,,,,,1,0,00000000,1,North,193,37,7R,Rural: Local System,,N,0,Data with lanes combined,36.1491,81.1431,004000100196,23714.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001001,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9602,0.15 MILES SOUTH OF NC18 / SR,L,Inductance loop,15,0,93
5507,,,,,15,0,00000000,1,North,121,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,35.9124,82.0637,002000001960,8411.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000019,,P,Planning or traffic statistics purposes,S,,,,,,,L,1040,371040,0.10 MILES EAST OF SR 1121 (AL,P,Piezoelectric,15,6,0
5551,,,,,1,2,00000076,7,West,47,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,34.3508,78.7008,002000007423,28675.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2301,0.50 MILES EAST OF US 701,L,Inductance loop,15,5,60
5595,,,,,15,3,00000045,7,West,95,37,4R,Rural: Minor Arterial,,N,1,Outside (rightmost) lane,35.5466,76.4398,002000026447,8377.0,2,Automated (telemetry),0,,0,,0,,N,1,1,1,1,2,00000264,,P,Planning or traffic statistics purposes,S,,,,,,,L,4701,374701,0.10 MILES EAST OF SR 1168 (FI,P,Piezoelectric,15,11,4
5626,,,,,1,0,00000000,1,North,29,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.5146,76.359,002000001714,11105.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,1028,0W1401,0.50 MILES NORTH OF SR 1231 (M,L,Inductance loop,15,0,4
5633,,,,,15,0,00000000,1,North,63,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,1,Outside (rightmost) lane,35.9567,78.864,003000014731,10615.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,3,00000147,,P,Planning or traffic statistics purposes,S,,,,,,,L,3816,373816,1.20 MILES NORTH OF SR 1954 (E,P,Piezoelectric,15,4,0
5639,G,Axle spacing with Scheme F modified,C,Combination of test trucks and trucks from the traffic stream (but not ASTM E1318),15,0,00000000,3,East,37,37,3R,Rural: Principal Arterial - Other,000000100428,Y,4,Other lanes,35.7293,79.2278,002000006418,29009.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),5,Permanent weigh-in-motion system,3,Permanent vehicle classification device,Y,2,2,2,2,2,00000064,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,T,Station used for TMG sample (but not SHRP/LTPP sample),H,Station used for Heavy Vehicle Travel Information System,L,1805,371805,1.50 MILES WEST OF NC 87,P,Piezoelectric,15,0,3
5672,,,,,15,0,00000000,3,East,183,37,1U,Urban: Principal Arterial - Interstate,000000100091,Y,2,Other lanes,35.7818,78.7493,001000004091,14172.0,2,Automated (telemetry),0,,0,,0,,Y,3,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,1006,371006,0.80 MILES EAST OF NC 54 (CHAP,P,Piezoelectric,15,3,0
5766,,,,,15,0,00000000,3,East,43,37,4R,Rural: Minor Arterial,,N,1,Outside (rightmost) lane,35.042,83.8773,002000006421,7098.0,2,Automated (telemetry),0,,0,,0,,N,1,1,1,1,2,00000064,,P,Planning or traffic statistics purposes,S,,,,,,,L,2101,372101,0.50 MILES EAST OF SR 1304 (DY,P,Piezoelectric,15,3,99
5824,,,,,1,0,00000000,3,East,179,37,3U,Urban: Principal Arterial - Other,000000100534,Y,0,Data with lanes combined,35.0138,80.569,002000007489,14305.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8902,0.65 MILES WEST OF SR 1223 (DI,L,Inductance loop,15,1,93
5884,,,,,1,0,00000000,7,West,101,37,1R,Rural: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.4294,78.5319,001000004050,23706.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5001,0.60 MILES WEST OF NC 242,L,Inductance loop,15,0,93
5893,,,,,15,2,00000023,3,East,113,37,1R,Rural: Principal Arterial - Interstate,000000102642,Y,2,Other lanes,35.8452,82.5239,001000002656,13911.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000026,,P,Planning or traffic statistics purposes,S,,,,,,,L,5601,375601,0.40 MILES WEST OF US 19,P,Piezoelectric,15,10,3
5904,,,,,1,2,00000321,1,North,189,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.1531,81.6498,002000022194,16777.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000221,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9402,0.20 MILES SOUTH OF SR 1533 (A,L,Inductance loop,15,2,98
5921,,,,,15,0,00000000,7,West,165,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,2,Other lanes,34.7753,79.4974,002000007482,15159.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000074,,P,Planning or traffic statistics purposes,S,,,,,,,L,8201,378201,0.10 MILES EAST OF NC 79 (GIBS,P,Piezoelectric,15,11,4
6015,,,,,1,0,00000000,7,West,21,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.5613,82.602,001000024010,801.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000240,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A1001,0.70 MILES WEST OF NC 191 (BRE,L,Inductance loop,15,15,93
6024,,,,,15,1,00000074,5,South,151,37,1R,Rural: Principal Arterial - Interstate,,N,3,Other lanes,35.6024,79.8182,001000007375,10874.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,7501,377501,0.80 MILES NORTH OF SR 1121 (N,P,Piezoelectric,15,11,4
6097,,,,,1,0,00000000,7,West,169,37,6R,Rural: Minor Collector,,N,0,Data with lanes combined,36.2945,80.1469,004000193584,487.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001935,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8401,0.30 MILES WEST OF US 311,L,Inductance loop,15,0,93
6158,,,,,15,2,00000064,7,West,39,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,35.0366,84.0953,002000001919,6773.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000019,,P,Planning or traffic statistics purposes,S,,,,,,,L,1901,371901,0.40 MILES EAST OF US 19-129 (,P,Piezoelectric,15,2,0
6192,,,,,15,2,00000029,1,North,71,37,1R,Rural: Principal Arterial - Interstate,000000102602,Y,2,Other lanes,35.2327,81.3207,001000008535,335.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000085,,P,Planning or traffic statistics purposes,S,,,,,,,L,2202,372202,0.80 MILES EAST OF NC 161 (YOR,P,Piezoelectric,15,3,0
6266,,,,,1,3,00000133,1,North,129,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,34.3612,77.8989,002000011764,24679.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,2,00000117,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6401,0.03 MILES NORTH OF SR 1340 (O,L,Inductance loop,15,0,54
6408,,,,,1,0,00000000,1,North,63,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,36.0195,78.9362,004000132131,1279.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001321,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3103,0.40 MILES NORTH OF NC 147 (DU,L,Inductance loop,15,0,93
6446,,,,,1,0,00000000,0,East-West or Southeast-Northwest combined (ATR stations only),37,37,3R,Rural: Principal Arterial - Other,000000100428,Y,0,Data with lanes combined,35.72932,79.22776,002000006418,29008.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,0,2,2,2,2,00000064,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,1805,0W1805,1.5 MILES WEST OF NC 87,L,Inductance loop,15,0,3
6572,,,,,15,0,00000000,1,North,127,37,1R,Rural: Principal Arterial - Interstate,,N,2,Other lanes,35.8713,77.9544,001000009563,7771.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,3011,373011,2.60 MILES NORTH OF NC 98,P,Piezoelectric,15,6,4
6738,,,,,15,0,00000000,5,South,157,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,36.3817,79.6107,002000002978,16860.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000029,,P,Planning or traffic statistics purposes,S,,,,,,,L,5827,375827,1.60 MILES SOUTH OF SR 2552 (N,P,Piezoelectric,15,2,0
6812,,,,,15,0,00000000,5,South,37,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,35.7114,79.429,002000042118,25773.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,2824,372824,1.60 MILES SOUTH OF US 64,P,Piezoelectric,15,11,3
6865,,,,,15,0,00000000,3,East,7,37,3U,Urban: Principal Arterial - Other,000000100512,Y,1,Outside (rightmost) lane,34.962,79.9806,002000007403,30724.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000074,,P,Planning or traffic statistics purposes,S,,,,,,,L,0301,370301,0.30 MILES WEST OF SR 1740 (AP,P,Piezoelectric,15,11,4
7042,,,,,1,0,00000000,1,North,81,37,3U,Urban: Principal Arterial - Other,000000101729,Y,0,Data with lanes combined,35.9366,79.9934,004000100940,2685.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,3,00001993,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4010,0.10 MILES NORTH OF I-85 BUS,L,Inductance loop,15,7,68
7075,,,,,1,2,00000015,5,South,63,37,1U,Urban: Principal Arterial - Interstate,000000100124,Y,0,Data with lanes combined,36.0211,78.9074,001000008531,7889.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3101,0.10 MILES WEST OF US 501 (DUK,L,Inductance loop,15,2,93
7134,,,,,15,0,00000000,7,West,147,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100611,Y,1,Outside (rightmost) lane,35.6492,77.4195,002000026473,26300.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000264,,P,Planning or traffic statistics purposes,S,,,,,,,L,7301,377301,0.90 MILES WEST OF NC 33,P,Piezoelectric,15,4,97
7168,,,,,15,2,00000023,7,West,113,37,1R,Rural: Principal Arterial - Interstate,000000102642,Y,4,Other lanes,35.8452,82.5239,001000002656,13911.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000026,,P,Planning or traffic statistics purposes,S,,,,,,,L,5601,375601,0.40 MILES WEST OF US 19,P,Piezoelectric,15,10,3
7181,,,,,15,0,00000000,1,North,121,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,35.9124,82.0637,002000001960,8411.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000019,,P,Planning or traffic statistics purposes,S,,,,,,,L,1040,371040,0.10 MILES EAST OF SR 1121 (AL,P,Piezoelectric,15,6,0
7310,,,,,1,0,00000000,7,West,125,37,7R,Rural: Local System,,N,0,Data with lanes combined,35.2817,79.3833,004000180362,5921.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001803,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6201,0.20 MILES WEST OF SR 1831 (FA,L,Inductance loop,15,0,54
7393,,,,,15,0,00000000,1,North,37,37,3R,Rural: Principal Arterial - Other,,N,3,Other lanes,35.7114,79.429,002000042118,25773.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,2824,372824,1.60 MILES SOUTH OF US 64,P,Piezoelectric,15,11,3
7497,,,,,1,0,00000000,3,East,129,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,34.2747,77.8684,008000503664,331.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6407,0.10 MILES WEST OF NC132 (COLL,L,Inductance loop,15,7,93
